date,albedo,temperature
1990-01,0.9344236,-17.452729999999974
1990-02,0.8875952,-25.728579999999965
1990-03,0.92373705,-38.738639999999975
1990-10,0.94586504,-36.01004999999998
1990-11,0.88554853,-23.204369999999983
1990-12,0.9345198,-22.83953999999997
1991-01,0.9550576,-23.42280999999997
1991-02,0.8051386,-21.873849999999976
1991-03,0.8913885,-39.846659999999986
1991-10,0.88577974,-40.974189999999965
1991-11,0.90987027,-28.007499999999965
1991-12,0.95202184,-27.24112999999997
1992-01,0.94819206,-28.344379999999973
1992-02,0.88464916,-27.38340999999997
1992-03,0.8222678,-45.784339999999986
1992-10,0.8379585,-38.06034999999997
1992-11,0.91182256,-27.298449999999974
1992-12,0.9302898,-22.677359999999965
1993-01,0.91425335,-25.607339999999965
1993-02,0.7893323,-31.08711999999997
1993-03,0.68490106,-42.43999999999997
1993-10,0.677507,-31.587819999999965
1993-11,0.8459178,-25.57392999999999
1993-12,0.8793352,-22.55380999999997
1994-01,0.8601476,-23.630869999999987
1994-02,0.7237053,-27.86045999999999
1994-03,0.43742436,-34.736999999999966
1995-01,0.9891054,-28.079949999999968
1995-02,0.91456866,-30.251149999999967
1995-03,0.8979121,-43.10708999999997
1995-10,0.94524515,-34.158769999999976
1995-11,0.886247,-17.606919999999974
1995-12,0.9467581,-17.08606999999995
1996-01,0.97168744,-20.07052999999999
1996-02,0.96407914,-26.50673999999998
1996-03,0.964489,-41.48101999999997
1996-10,0.9101095,-35.89923999999996
1996-11,0.8656186,-18.17982999999998
1996-12,0.92561746,-20.187339999999978
1997-01,0.9400548,-18.99130999999997
1997-02,0.9074548,-25.119269999999972
1997-03,0.908375,-39.116799999999984
1997-10,0.8869496,-36.137669999999986
1997-11,0.9000714,-24.32272999999998
1997-12,0.945712,-23.605289999999968
1998-01,0.92128223,-23.52028999999999
1998-02,0.7767418,-23.700499999999977
1998-03,0.80828035,-42.557729999999964
1998-10,0.8135347,-39.503089999999986
1998-11,0.8533242,-24.610419999999976
1998-12,0.94789255,-24.653569999999974
1999-01,0.9405,-25.761509999999987
1999-02,0.8385588,-30.329609999999974
